dataset,model,params,score
synthetic_circle,mlp,"[{'activation': 'tanh', 'hidden_layer_sizes': (10, 10, 50), 'solver': 'lbfgs'}]",0.9985815602836879
synthetic_circle,rf,"[{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 20}]",0.9759364698831285
sinusoid,mlp,"[{'activation': 'tanh', 'hidden_layer_sizes': (50, 50, 50), 'solver': 'lbfgs'}]",0.968014652014652
sinusoid,rf,"[{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}]",0.974871794871795
synthetic_severe_disease,mlp,"[{'activation': 'relu', 'hidden_layer_sizes': (20, 20, 10), 'solver': 'adam'}]",0.776095947063689
synthetic_severe_disease,rf,"[{'max_depth': 10, 'min_samples_leaf': 5, 'min_samples_split': 2, 'n_estimators': 200}]",0.7760794044665013
synthetic_athlete,mlp,"[{'activation': 'tanh', 'hidden_layer_sizes': (20, 50, 10), 'solver': 'sgd'}]",0.7135846267553584
synthetic_athlete,rf,"[{'max_depth': 2, 'min_samples_leaf': 5, 'min_samples_split': 10, 'n_estimators': 50}]",0.7099556541019956
ionosphere,mlp,"[{'activation': 'relu', 'hidden_layer_sizes': (50, 20, 50), 'solver': 'lbfgs'}]",0.9249275362318841
ionosphere,rf,"[{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 20}]",0.9336231884057972
german,mlp,"[{'activation': 'tanh', 'hidden_layer_sizes': (20, 50, 10), 'solver': 'lbfgs'}]",0.6185185185185185
german,rf,"[{'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 50}]",0.6277777777777778
credit,mlp,"[{'activation': 'tanh', 'hidden_layer_sizes': (10, 10, 50), 'solver': 'lbfgs'}]",0.7025631846185872
credit,rf,"[{'max_depth': 10, 'min_samples_leaf': 3, 'min_samples_split': 10, 'n_estimators': 100}]",0.7062126469361574
heart,mlp,"[{'activation': 'tanh', 'hidden_layer_sizes': (50, 10, 10), 'solver': 'adam'}]",0.78
heart,rf,"[{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}]",0.784
compass,mlp,"[{'activation': 'tanh', 'hidden_layer_sizes': (20, 10, 10), 'solver': 'adam'}]",0.6753178462363248
compass,rf,"[{'max_depth': 5, 'min_samples_leaf': 3, 'min_samples_split': 5, 'n_estimators': 50}]",0.6728559940476637
3-cubic,mlp,"[{'activation': 'relu', 'hidden_layer_sizes': (50, 20, 10), 'solver': 'lbfgs'}]",0.9804576934658236
3-cubic,rf,"[{'max_depth': 5, 'min_samples_leaf': 5, 'min_samples_split': 5, 'n_estimators': 10}]",0.9754591990364349
synthetic_diagonal_0,mlp,"[{'activation': 'tanh', 'hidden_layer_sizes': (20, 20, 10), 'solver': 'adam'}]",1.0
synthetic_diagonal_0,rf,"[{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}]",0.9763854503904017
synthetic_diagonal_1_8,mlp,"[{'activation': 'tanh', 'hidden_layer_sizes': (50, 50, 1), 'solver': 'adam'}]",1.0
synthetic_diagonal_1_8,rf,"[{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 50}]",0.9866884531590413
synthetic_diagonal_plane,mlp,"[{'activation': 'logistic', 'hidden_layer_sizes': (20, 10, 20), 'solver': 'lbfgs'}]",0.9988571428571429
synthetic_diagonal_plane,rf,"[{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 20}]",0.9977142857142857
synthetic_cubic_0,mlp,"[{'activation': 'logistic', 'hidden_layer_sizes': (10, 20, 20), 'solver': 'lbfgs'}]",0.995505617977528
synthetic_cubic_0,rf,"[{'max_depth': 10, 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}]",0.9728804902962207
synthetic_cubic_1_8,mlp,"[{'activation': 'tanh', 'hidden_layer_sizes': (20, 1, 20), 'solver': 'lbfgs'}]",1.0
synthetic_cubic_1_8,rf,"[{'max_depth': 5, 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}]",0.9871428571428572
